AGENTID1,AGENTID2,CLIENTS
A14622,A29054,1
A14629,A15873,1
A14629,A20397,1
A14629,A21662,1
A14629,A22473,1
A14629,A24377,2
A14629,A24887,1
A14630,A18731,1
A14630,A21124,5
A14630,A23743,1
A14639,A4938,1
A14676,A26543,1
A14733,A19803,1
A14739,A18478,1
A14740,A22337,1
A14768,A18030,1
A14768,A2420,1
A14768,A30439,1
A14772,A20508,1
A14789,A26383,1
A14801,A6098,1
A14805,A22601,1
A14842,A16555,1
A14842,A18356,1
A14842,A23919,1
A14866,A24377,1
A14867,A24377,2
A14919,A24095,1
A14922,A24505,1
A14944,A3045,1
A14946,A27434,1
A14959,A18434,1
A14959,A20728,2
A14959,A3085,1
A14959,A6605,1
A14971,A15511,1
A14971,A20501,1
A15003,A19730,1
A15011,A17636,1
A15071,A24397,1
A15086,A17278,2
A15086,A18356,1
A15086,A19064,1
A15086,A21337,1
A15086,A25241,1
A15086,A25252,1
A15086,A25333,1
A15086,A27247,1
A15086,A8556,1
A15092,A31249,1
A15095,A17052,1
A15129,A24754,1
A15140,A27791,1
A15141,A17084,1
A15165,A16833,1
A15168,A24158,1
A15169,A16558,1
A15169,A18156,1
A15169,A18218,1
A15169,A19731,1
A15169,A21837,1
A15169,A21890,1
A15169,A22168,1
A15169,A22909,4
A15169,A23920,1
A15169,A24427,1
A15169,A25272,4
A15169,A25957,7
A15169,A26644,2
A15169,A27032,1
A15169,A6889,1
A15169,A8409,4
A15169,A8464,1
A15169,A9060,1
A15171,A18537,1
A15173,A20718,1
A15174,A21861,1
A15180,A25637,1
A15194,A23861,1
A15194,A8763,1
A15254,A21662,1
A15264,A22656,1
A15275,A30292,1
A15275,A3309,1
A15275,A5583,1
A15290,A27133,1
A15294,A4428,1
A15398,A29054,1
A15398,A343,1
A15398,A9174,1
A15400,A23905,1
A15400,A26887,1
A15401,A23771,1
A15437,A4293,1
A15457,A6098,1
A15467,A1610,1
A15521,A19553,1
A15521,A4842,1
A15580,A20711,1
A15580,A7009,1
A15591,A18077,1
A15610,A28788,1
A15610,A8464,1
A15612,A6098,1
A15614,A19119,1
A15677,A23623,1
A15677,A30427,1
A15683,A20217,1
A15685,A3731,1
A15710,A2760,1
A15728,A23705,1
A15738,A17818,1
A15761,A22848,1
A15768,A22555,2
A15768,A24377,1
A15768,A25142,1
A15768,A26267,1
A15772,A17423,1
A15772,A20993,1
A15772,A23911,1
A15805,A19046,1
A15805,A19537,2
A15805,A20071,2
A15818,A23867,1
A15830,A18499,1
A15830,A21254,1
A15879,A19704,1
A15974,A19710,1
A15974,A25983,1
A15974,A30873,1
A16012,A20841,1
A16024,A25393,1
A16033,A18731,1
A16060,A19730,1
A1610,A2900,1
A16165,A26333,1
A16173,A23867,1
A16179,A17817,1
A16193,A17416,2
A16240,A21603,1
A16240,A24377,3
A16240,A25142,1
A16240,A26543,1
A16240,A26740,2
A16240,A4428,1
A16345,A3715,1
A16349,A24030,1
A16351,A21985,1
A16483,A21856,8
A16483,A28006,2
A16483,A7004,5
A16510,A20552,1
A1653,A18105,1
A1653,A24505,1
A1653,A28110,1
A16547,A17286,1
A16555,A29054,1
A16555,A30292,1
A16555,A4632,1
A16555,A8556,1
A16558,A16643,1
A16558,A16985,1
A16558,A17445,2
A16558,A22909,2
A16558,A23361,1
A16558,A23826,1
A16558,A24427,5
A16558,A24555,1
A16558,A25272,14
A16558,A25403,5
A16558,A25957,1
A16558,A27032,3
A16558,A28788,1
A16558,A8409,3
A16558,A8464,1
A16569,A22129,1
A16569,A24095,1
A16595,A28788,1
A16600,A22337,1
A16602,A17700,1
